SST(°C) mean stdv
6.690000 0.321925 0.084801
6.700000 0.322234 0.084809
6.710000 0.322542 0.084818
6.720000 0.322851 0.084826
6.730000 0.323159 0.084836
6.740000 0.323467 0.084845
6.750000 0.323775 0.084855
6.760000 0.324083 0.084846
6.770000 0.324391 0.084857
6.780000 0.324698 0.084868
6.790000 0.325006 0.084879
6.800000 0.325313 0.084891
6.810000 0.325620 0.084876
6.820000 0.325927 0.084827
6.830000 0.326234 0.084839
6.840000 0.326541 0.084851
6.850000 0.326847 0.084864
6.860000 0.327153 0.084877
6.870000 0.327459 0.084890
6.880000 0.327765 0.084903
6.890000 0.328071 0.084917
6.900000 0.328377 0.084931
6.910000 0.328682 0.084945
6.920000 0.328988 0.084960
6.930000 0.329293 0.084975
6.940000 0.329598 0.084990
6.950000 0.329903 0.085005
6.960000 0.330208 0.085021
6.970000 0.330512 0.085037
6.980000 0.330817 0.085053
6.990000 0.331121 0.085017
7.000000 0.331425 0.084940
7.010000 0.331729 0.084863
7.020000 0.332033 0.084786
7.030000 0.332336 0.084709
7.040000 0.332640 0.084632
7.050000 0.332943 0.084628
7.060000 0.333246 0.084641
7.070000 0.333549 0.084654
7.080000 0.333852 0.084668
7.090000 0.334155 0.084681
7.100000 0.334457 0.084695
7.110000 0.334760 0.084708
7.120000 0.335062 0.084722
7.130000 0.335364 0.084736
7.140000 0.335666 0.084751
7.150000 0.335968 0.084765
7.160000 0.336269 0.084780
7.170000 0.336570 0.084794
7.180000 0.336872 0.084809
7.190000 0.337173 0.084824
7.200000 0.337474 0.084839
7.210000 0.337774 0.084854
7.220000 0.338075 0.084869
7.230000 0.338375 0.084808
7.240000 0.338676 0.084719
7.250000 0.338976 0.084630
7.260000 0.339276 0.084639
7.270000 0.339576 0.084628
7.280000 0.339875 0.084538
7.290000 0.340175 0.084448
7.300000 0.340474 0.084446
7.310000 0.340773 0.084457
7.320000 0.341072 0.084469
7.330000 0.341371 0.084481
7.340000 0.341670 0.084434
7.350000 0.341968 0.084396
